AVERAGE CASE

 Array Size  Compare Count  Copy Count
          2              1           4
          4              4          16
          8             14          48
         16             45         128
         32            121         320
         64            307         768
        128            736        1792
        256           1727        4096
        512           3962        9216
       1024           8937       20480
          2              1           4
          4              5          16
          8             16          48
         16             45         128
         32            122         320
         64            307         768
        128            727        1792
        256           1721        4096
        512           3950        9216
       1024           8947       20480
          2              1           4
          4              5          16
          8             17          48
         16             48         128
         32            123         320
         64            311         768
        128            738        1792
        256           1734        4096
        512           3967        9216
       1024           8927       20480
          2              1           4
          4              4          16
          8             16          48
         16             47         128
         32            119         320
         64            302         768
        128            734        1792
        256           1725        4096
        512           3965        9216
       1024           8949       20480
          2              1           4
          4              5          16
          8             17          48
         16             46         128
         32            123         320
         64            307         768
        128            737        1792
        256           1725        4096
        512           3968        9216
       1024           8957       20480
BEST CASE

 Array Size  Compare Count  Copy Count
          2              1           4
          4              4          16
          8             12          48
         16             32         128
         32             80         320
         64            192         768
        128            448        1792
        256           1024        4096
        512           2304        9216
       1024           5120       20480
          2              1           4
          4              4          16
          8             12          48
         16             32         128
         32             80         320
         64            192         768
        128            448        1792
        256           1024        4096
        512           2304        9216
       1024           5120       20480
          2              1           4
          4              4          16
          8             12          48
         16             32         128
         32             80         320
         64            192         768
        128            448        1792
        256           1024        4096
        512           2304        9216
       1024           5120       20480
          2              1           4
          4              4          16
          8             12          48
         16             32         128
         32             80         320
         64            192         768
        128            448        1792
        256           1024        4096
        512           2304        9216
       1024           5120       20480
          2              1           4
          4              4          16
          8             12          48
         16             32         128
         32             80         320
         64            192         768
        128            448        1792
        256           1024        4096
        512           2304        9216
       1024           5120       20480
